"","LINEUP_SORTED","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","OPPONENTS","SCORE DIFFERENTIAL WHEN ENTER","QUARTER","NUMBERS","SCORE","LOCATION","PACE","OFFENSIVE RATING","DEFENSIVE RATING","NET RATING","3PA/FGA","TRUE SHOOTING %","TRB%"
"15","ARIAS,AVA BANEY,PAYTON HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE",4,3,2,97,5,4,0,2,0,0,2,"case western reserve2, penn state-behrend","15, 8","2, 1","5 22 33 15 23","70-46, 78-74","HOME, HOME",61.8556701030928,200,166.666666666667,33.3333333333333,0,100,0
"16","ARIAS,AVA BANEY,PAYTON HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE",4,5,5,133,3,5,1,3,2,2,5,"brandeis, muskingum, muskingum, washu2","16, 9, 11, -13","4, 2, 2, 1","22 15 24 5 23","74-67, 91-61, 91-61, 76-70","HOME, HOME, HOME, HOME",90.2255639097744,100,60,40,0.333333333333333,64.4329896907217,40
"17","ARIAS,AVA BANEY,PAYTON LIGOTTI,PIPER NAMBISAN,ISHA OR,CATHERINE",4,8,7,247,4,10,1,8,2,7,10,"la roche","16","3","23 3 15 33 22","72-47","HOME",72.8744939271255,142.857142857143,50,92.8571428571429,0.125,56.3063063063063,70
"18","ARIAS,AVA BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE PEPER,ANYA",4,0,1,14,0,0,0,0,0,0,0,"case western reserve","-9","2","33 22 15 23 14","69-63","AWAY",85.7142857142857,0,NA,NA,NA,NA,NA
"19","ARIAS,AVA BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE",4,46,46,1530,35,53,13,36,12,25,51,"allegheny, brandeis, bridgewater st., carlow, case western reserve, chicago2, emory2, emory2, emory2, johns hopkins, nyu, nyu2, penn state-behrend, washu, wis.-eau claire","-5, 0, 8, 6, -11, 4, -4, -3, 0, -8, -16, -18, 8, 13, 13","1, 1, 4, 1, 1, 2, 1, 3, 4, 1, 1, 3, 4, 3, 2","23 15 22 33 24","73-47, 74-67, 69-58, 92-45, 69-63, 60-57, 78-66, 78-66, 78-66, 58-68, 62-91, 52-83, 78-74, 86-67, 71-48","AWAY, HOME, HOME, HOME, AWAY, HOME, HOME, HOME, HOME, AWAY, HOME, AWAY, HOME, AWAY, HOME",72.156862745098,115.217391304348,76.0869565217391,39.1304347826087,0.361111111111111,64.1957364341085,49.0196078431373
"20","ARIAS,AVA BANEY,PAYTON OR,CATHERINE PEPER,ANYA TIMKO,NICOLE",4,11,11,345,2,18,4,5,4,8,11,"washu, washu","3, 13","1, 4","23 14 15 22 24","86-67, 86-67","AWAY, AWAY",76.5217391304348,163.636363636364,18.1818181818182,145.454545454545,0.8,133.136094674556,72.7272727272727
"21","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH NAMBISAN,ISHA",4,7,7,201,4,8,4,6,0,2,6,"emory","-3","1","4 23 21 33 10","67-77","AWAY",83.5820895522388,114.285714285714,57.1428571428571,57.1428571428571,0.666666666666667,66.6666666666667,33.3333333333333
"22","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE",4,3,3,74,0,3,0,1,2,2,2,"brandeis, emory","5, -4","1, 1","4 23 22 10 21","74-67, 67-77","HOME, AWAY",97.2972972972973,100,0,100,0,79.7872340425532,100
"23","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH PEPER,ANYA",4,6,7,176,7,6,0,3,3,2,4,"nyu, nyu","-9, -26","1, 2","14 4 10 21 23","62-91, 62-91","HOME, HOME",88.6363636363637,85.7142857142857,116.666666666667,-30.952380952381,0,69.4444444444444,50
"24","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH TIMKO,NICOLE",4,2,2,96,2,2,0,2,0,0,2,"denison","15","4","4 23 21 24 10","75-58","AWAY",50,100,100,0,0,50,0
