"","LINEUP_SORTED","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","OPPONENTS","SCORE DIFFERENTIAL WHEN ENTER","QUARTER","NUMBERS","SCORE","LOCATION","PACE","OFFENSIVE RATING","DEFENSIVE RATING","NET RATING","3PA/FGA","TRUE SHOOTING %","TRB%"
"60","ARIAS,AVA NAMBISAN,ISHA OR,CATHERINE PEPER,ANYA PROUTY,ANNA",4,5,5,173,3,2,1,5,0,3,8,"case western reserve","-8","2","33 22 11 23 14","69-63","AWAY",69.364161849711,40,60,-20,0.2,20,37.5
"61","ARIAS,AVA NAMBISAN,ISHA OR,CATHERINE PROUTY,ANNA TIMKO,NICOLE",4,5,4,162,0,4,0,4,0,4,7,"rochester, rochester","5, 11","1, 2","23 11 33 22 24","72-55, 72-55","AWAY, AWAY",66.6666666666667,100,0,100,0,50,57.1428571428571
"62","BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH NAMBISAN,ISHA",3,2,1,53,0,0,0,0,0,2,2,"denison","17","4","15 33 4 21 10","75-58","AWAY",67.9245283018868,0,0,0,NA,NA,100
"63","BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH TIMKO,NICOLE",3,2,2,65,4,2,0,2,0,0,1,"case western reserve","-7","1","4 10 21 15 24","69-63","AWAY",73.8461538461539,100,200,-100,0,50,0
"64","BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA LIGOTTI,PIPER TIMKO,NICOLE",4,3,2,58,4,0,0,1,2,0,2,"washington & jefferson","4","1","15 21 10 24 3","80-77","HOME",103.448275862069,0,133.333333333333,-133.333333333333,0,0,0
"65","BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA NAMBISAN,ISHA TIMKO,NICOLE",4,2,3,47,0,0,0,2,0,2,4,"case western reserve","-9","1","33 10 21 15 24","69-63","AWAY",127.659574468085,0,0,0,0,0,50
"66","BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA PEPER,ANYA PROUTY,ANNA",3,3,2,87,4,4,1,3,0,2,2,"brandeis","7","2","11 10 15 21 14","74-67","HOME",68.9655172413793,200,133.333333333333,66.6666666666667,0.333333333333333,66.6666666666667,100
"67","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA",3,10,10,325,6,8,2,9,0,5,14,"baldwin wallace, rochester2, rochester2","5, 11, 9","2, 2, 3","33 10 5 4 15","51-70, 59-46, 59-46","AWAY, HOME, HOME",73.8461538461538,80,60,20,0.222222222222222,44.4444444444444,35.7142857142857
"68","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE",3,8,10,337,12,9,1,6,0,2,5,"allegheny, brandeis2, chicago","-2, 11, -3","2, 4, 4","5 4 15 10 22","73-47, 62-51, 54-62","AWAY, AWAY, AWAY",64.0949554896143,90,150,-60,0.166666666666667,75,40
"69","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE TIMKO,NICOLE",3,5,3,137,5,2,1,1,2,0,3,"rochester2, rochester2, rochester2","11, 13, 18","2, 2, 3","10 15 4 24 5","59-46, 59-46, 59-46","HOME, HOME, HOME",70.0729927007299,66.6666666666667,100,-33.3333333333333,1,53.1914893617021,0
"70","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH KATZ,JUSTINE OR,CATHERINE",3,3,2,64,1,1,0,1,2,2,3,"brandeis2, chicago2","8, 2","4, 2","4 15 2 10 22","62-51, 60-57","AWAY, HOME",93.75,50,33.3333333333333,16.6666666666667,0,26.5957446808511,66.6666666666667
"71","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER TIMKO,NICOLE",3,4,3,119,7,0,3,3,0,2,4,"allegheny","7","3","15 4 24 3 10","73-47","AWAY",70.5882352941177,0,175,-175,1,0,50
"72","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE",3,283,280,9564,286,225,72,213,67,141,281,"allegheny, brandeis, brandeis, brandeis2, brandeis2, brandeis2, brandeis2, brandeis2, bridgewater st., bridgewater st., bridgewater st., bridgewater st., bridgewater st., bridgewater st., bridgewater st., case western reserve, case western reserve, case western reserve2, case western reserve2, case western reserve2, chicago, chicago, chicago, chicago, chicago, chicago, chicago2, chicago2, chicago2, denison, emory, emory, emory, emory2, emory2, emory2, johns hopkins, johns hopkins, la roche, nyu, nyu, nyu, nyu2, nyu2, penn state-behrend, penn state-behrend, penn state-behrend, penn state-behrend, rochester, rochester, washu, washu, washu2, washu2, washu2, wis.-eau claire, wis.-eau claire, wooster","13, 0, 14, 0, -9, -2, 10, 13, 0, 7, 0, 1, 8, 11, 11, -11, 0, 0, 4, 11, 0, 4, 0, -4, -5, -7, 0, 2, 1, 6, 0, 1, -9, 0, -14, -8, 0, 3, 12, 0, -19, -27, 0, -23, 1, 6, 6, 9, 0, 13, 0, 19, 0, -1, 8, 10, 12, 12","4, 1, 3, 1, 1, 3, 4, 4, 1, 2, 3, 3, 4, 4, 4, 2, 4, 1, 2, 3, 1, 2, 3, 4, 4, 4, 1, 3, 4, 4, 1, 2, 3, 1, 2, 3, 1, 3, 3, 1, 2, 3, 1, 3, 3, 3, 4, 4, 1, 3, 1, 3, 1, 3, 4, 2, 3, 3","15 4 33 22 10","73-47, 74-67, 74-67, 62-51, 62-51, 62-51, 62-51, 62-51, 69-58, 69-58, 69-58, 69-58, 69-58, 69-58, 69-58, 69-63, 69-63, 70-46, 70-46, 70-46, 54-62, 54-62, 54-62, 54-62, 54-62, 54-62, 60-57, 60-57, 60-57, 75-58, 67-77, 67-77, 67-77, 78-66, 78-66, 78-66, 58-68, 58-68, 72-47, 62-91, 62-91, 62-91, 52-83, 52-83, 78-74, 78-74, 78-74, 78-74, 72-55, 72-55, 86-67, 86-67, 76-70, 76-70, 76-70, 71-48, 71-48, 69-43","AWAY, HOME, HOME, AWAY, AWAY, AWAY, AWAY, AWAY, HOME, HOME, HOME, HOME, HOME, HOME, HOME, AWAY, AWAY, HOME, HOME, HOME, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, HOME, HOME, HOME, AWAY, AWAY, AWAY, AWAY, HOME, HOME, HOME, AWAY, AWAY, HOME, HOME, HOME, HOME, AWAY, AWAY, HOME, HOME, HOME, HOME, AWAY, AWAY, AWAY, AWAY, HOME, HOME, HOME, HOME, HOME, AWAY",70.6398996235884,80.3571428571429,101.060070671378,-20.7029278142352,0.338028169014085,46.3955790168261,50.1779359430605
"73","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA PEPER,ANYA",3,2,2,72,3,2,1,2,0,1,2,"nyu","-33","3","10 4 15 33 14","62-91","HOME",66.6666666666667,100,150,-50,0.5,50,50
"74","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA TIMKO,NICOLE",3,42,39,1628,32,26,8,30,13,27,48,"baldwin wallace, chicago2, denison, emory2, johns hopkins, nyu2, rochester, rochester2, rochester2, rochester2, rochester2, rochester2, washu2, wis.-eau claire","-4, 4, 6, -12, -12, -11, 17, 0, 13, 10, 10, 13, -1, 10","1, 2, 3, 1, 3, 3, 3, 1, 3, 3, 4, 4, 2, 2","4 10 33 15 24","51-70, 60-57, 75-58, 78-66, 58-68, 52-83, 72-55, 59-46, 59-46, 59-46, 59-46, 59-46, 76-70, 71-48","AWAY, HOME, AWAY, HOME, AWAY, AWAY, AWAY, HOME, HOME, HOME, HOME, HOME, HOME, HOME",59.7051597051597,66.6666666666667,76.1904761904762,-9.52380952380953,0.266666666666667,36.3941769316909,56.25
"75","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE PEPER,ANYA",3,1,0,16,0,0,0,0,0,0,1,"penn state-behrend","7","1","4 10 14 15 22","78-74","HOME",75,NA,0,NA,NA,NA,0
"76","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE",3,76,74,2699,58,62,10,55,16,42,69,"allegheny, baldwin wallace, baldwin wallace, baldwin wallace, brandeis2, brandeis2, bridgewater st., case western reserve, case western reserve, case western reserve2, chicago, chicago2, chicago2, denison, nyu2, penn state-behrend, washu2, wis.-eau claire, wis.-eau claire, wis.-eau claire, wooster","12, 0, -5, -10, -2, 10, -5, -7, -1, 11, 1, 2, 1, 14, -15, 2, -6, -1, 10, 10, -1","4, 1, 3, 4, 2, 4, 3, 1, 4, 4, 4, 2, 4, 4, 2, 1, 1, 1, 2, 3, 1","15 4 24 22 10","73-47, 51-70, 51-70, 51-70, 62-51, 62-51, 69-58, 69-63, 69-63, 70-46, 54-62, 60-57, 60-57, 75-58, 52-83, 78-74, 76-70, 71-48, 71-48, 71-48, 69-43","AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, HOME, AWAY, AWAY, HOME, AWAY, HOME, HOME, AWAY, AWAY, HOME, HOME, HOME, HOME, HOME, AWAY",66.691367173027,83.7837837837838,76.3157894736842,7.46799431009957,0.181818181818182,49.9677627337202,60.8695652173913
"77","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH PEPER,ANYA TIMKO,NICOLE",3,1,2,84,2,2,0,2,1,2,3,"allegheny","16","4","15 4 24 14 10","73-47","AWAY",42.8571428571429,100,200,-100,0,40.983606557377,66.6666666666667
"78","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE LIGOTTI,PIPER OR,CATHERINE",4,1,0,14,3,0,0,0,0,0,0,"washington & jefferson","3","2","15 5 10 22 3","80-77","HOME",85.7142857142857,NA,300,NA,NA,NA,NA
"79","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE LIGOTTI,PIPER TIMKO,NICOLE",4,8,7,215,4,10,1,6,4,7,9,"carlow, oberlin","20, 10","1, 1","15 24 3 5 10","92-45, 81-43","HOME, HOME",83.7209302325581,142.857142857143,50,92.8571428571429,0.166666666666667,64.4329896907217,77.7777777777778
"80","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE",4,9,10,261,10,18,2,9,2,4,8,"denison, emory2","-10, -17","2, 2","5 10 22 33 15","75-58, 78-66","AWAY, HOME",87.3563218390805,180,111.111111111111,68.8888888888889,0.222222222222222,91.0931174089069,50
"81","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE NAMBISAN,ISHA PROUTY,ANNA",3,6,5,205,0,0,2,3,0,4,6,"rochester2","0","1","5 11 15 33 10","59-46","HOME",64.390243902439,0,0,0,0.666666666666667,0,66.6666666666667
"82","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE NAMBISAN,ISHA TIMKO,NICOLE",4,0,1,29,0,2,0,1,0,0,2,"rochester2","11","2","10 15 33 24 5","59-46","HOME",41.3793103448276,200,NA,NA,0,100,0
"83","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE OR,CATHERINE PROUTY,ANNA",3,2,1,70,3,0,1,2,0,2,3,"emory","-6","2","11 22 15 10 5","67-77","AWAY",51.4285714285714,0,150,-150,0.5,0,66.6666666666667
"84","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE",4,18,17,492,9,18,7,17,1,8,15,"la roche, muskingum, washington & jefferson, washington & jefferson, washu2, wooster","11, 9, 2, 8, 7, 14","1, 1, 1, 4, 4, 3","15 10 22 5 24","72-47, 91-61, 80-77, 80-77, 76-70, 69-43","HOME, HOME, HOME, HOME, HOME, AWAY",85.3658536585366,105.882352941176,50,55.8823529411765,0.411764705882353,51.605504587156,53.3333333333333
"85","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE PROUTY,ANNA TIMKO,NICOLE",3,6,6,191,2,11,1,6,0,2,4,"case western reserve2","6","2","5 10 24 15 11","70-46","HOME",75.3926701570681,183.333333333333,33.3333333333333,150,0.166666666666667,91.6666666666667,50
"86","BANEY,PAYTON CHINTALA,ANISHA LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE",3,5,6,179,4,9,1,6,0,3,8,"brandeis2, muskingum","-2, 5","2, 2","10 15 43 22 33","62-51, 91-61","AWAY, HOME",73.7430167597765,150,80,70,0.166666666666667,75,37.5
"87","BANEY,PAYTON CHINTALA,ANISHA LAFOND,LIV NAMBISAN,ISHA TIMKO,NICOLE",3,5,4,156,2,6,1,3,2,4,5,"muskingum","30","3","33 24 15 10 43","91-61","HOME",69.2307692307692,150,40,110,0.333333333333333,77.319587628866,80
"88","BANEY,PAYTON CHINTALA,ANISHA LIGOTTI,PIPER NAMBISAN,ISHA OR,CATHERINE",4,6,6,176,6,10,3,6,3,1,6,"washington & jefferson","-2","2","15 33 10 22 3","80-77","HOME",81.8181818181818,166.666666666667,100,66.6666666666667,0.5,68.3060109289617,16.6666666666667
"89","BANEY,PAYTON CHINTALA,ANISHA LIGOTTI,PIPER NAMBISAN,ISHA TIMKO,NICOLE",4,1,1,20,2,0,0,0,0,0,0,"washington & jefferson","0","1","15 33 10 24 3","80-77","HOME",120,0,200,-200,NA,NA,NA
"90","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE PROUTY,ANNA",3,3,3,81,4,4,0,3,0,0,1,"emory","-9","2","11 22 15 10 33","67-77","AWAY",88.8888888888889,133.333333333333,133.333333333333,0,0,66.6666666666667,0
"91","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE",4,133,138,4148,98,169,39,112,54,72,126,"allegheny, baldwin wallace, chicago, denison, denison, denison, emory2, emory2, emory2, emory2, johns hopkins, johns hopkins, oberlin, oberlin, oberlin, rochester, rochester, washington & jefferson, washington & jefferson, washington & jefferson, washington & jefferson, washu2, washu2, washu2, washu2, washu2, wooster","-3, -2, -6, 0, -6, 14, -19, -9, -4, 0, -12, -8, -2, 13, 15, 7, 16, -5, 2, -2, 5, -6, 3, 6, 12, 3, -3","1, 1, 4, 1, 2, 4, 2, 3, 4, 4, 2, 4, 1, 2, 3, 3, 4, 1, 2, 3, 4, 2, 3, 4, 4, 4, 1","24 15 10 33 22","73-47, 51-70, 54-62, 75-58, 75-58, 75-58, 78-66, 78-66, 78-66, 78-66, 58-68, 58-68, 81-43, 81-43, 81-43, 72-55, 72-55, 80-77, 80-77, 80-77, 80-77, 76-70, 76-70, 76-70, 76-70, 76-70, 69-43","AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, HOME, HOME, HOME, HOME, AWAY, AWAY, HOME, HOME, HOME, AWAY, AWAY, HOME, HOME, HOME, HOME, HOME, HOME, HOME, HOME, HOME, AWAY",78.3992285438766,122.463768115942,73.6842105263158,48.7795575896263,0.348214285714286,62.2421921037124,57.1428571428571
"92","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA PROUTY,ANNA TIMKO,NICOLE",3,8,6,275,6,10,2,6,2,4,9,"brandeis2, nyu2, rochester2","11, -19, 0","3, 2, 2","11 15 24 33 10","62-51, 52-83, 59-46","AWAY, AWAY, HOME",61.0909090909091,166.666666666667,75,91.6666666666667,0.333333333333333,72.6744186046512,44.4444444444444
"93","BANEY,PAYTON CHINTALA,ANISHA OR,CATHERINE PROUTY,ANNA TIMKO,NICOLE",3,5,6,273,7,5,1,5,4,4,9,"case western reserve2, nyu2, wis.-eau claire","15, -21, -1","3, 2, 1","10 22 11 15 24","70-46, 52-83, 71-48","HOME, AWAY, HOME",48.3516483516484,83.3333333333333,140,-56.6666666666667,0.2,36.9822485207101,44.4444444444444
"94","BANEY,PAYTON CHINTALA,ANISHA PEPER,ANYA PROUTY,ANNA TIMKO,NICOLE",3,2,1,52,2,2,0,1,0,0,0,"allegheny","16","4","15 11 24 14 10","73-47","AWAY",69.2307692307692,200,100,100,0,100,NA
"95","BANEY,PAYTON DELMORE,KAYLA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE",3,5,6,244,2,5,2,7,1,5,9,"washu, wooster","22, 5","2, 2","22 4 15 21 33","86-67, 69-43","AWAY, AWAY",54.0983606557377,83.3333333333333,40,43.3333333333333,0.285714285714286,33.6021505376344,55.5555555555556
"96","BANEY,PAYTON DELMORE,KAYLA GIBBS,SAVANNAH NAMBISAN,ISHA TIMKO,NICOLE",3,2,2,44,2,0,1,2,0,2,3,"wooster","7","2","15 33 21 24 4","69-43","AWAY",109.090909090909,0,100,-100,0.5,0,66.6666666666667
"97","BANEY,PAYTON DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE",3,4,4,141,2,5,1,4,0,3,6,"brandeis","19","3","15 4 22 24 21","74-67","HOME",68.0851063829787,125,50,75,0.25,62.5,50
"98","BANEY,PAYTON DELMORE,KAYLA HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE",4,1,2,28,0,0,0,1,0,0,1,"washington & jefferson","0","1","15 21 22 24 5","80-77","HOME",128.571428571429,0,0,0,0,0,0
"99","BANEY,PAYTON DELMORE,KAYLA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE",4,1,0,25,2,0,0,0,0,0,1,"case western reserve","-9","1","33 22 21 15 24","69-63","AWAY",48,NA,200,NA,NA,NA,0
"100","BANEY,PAYTON DELMORE,KAYLA NAMBISAN,ISHA PROUTY,ANNA TIMKO,NICOLE",3,2,2,65,2,0,0,1,0,1,2,"brandeis","9","2","11 24 15 21 33","74-67","HOME",73.8461538461539,0,100,-100,0,0,50
"101","BANEY,PAYTON GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE",3,7,7,245,7,9,1,4,8,5,7,"penn state-behrend, washu, wooster","8, 22, 8","1, 2, 2","4 5 33 15 22","78-74, 86-67, 69-43","HOME, AWAY, AWAY",68.5714285714286,128.571428571429,100,28.5714285714286,0.25,59.8404255319149,71.4285714285714
"102","BANEY,PAYTON GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE",3,7,6,245,5,7,2,5,0,5,9,"allegheny, emory","0, -8","2, 2","5 4 15 24 22","73-47, 67-77","AWAY, AWAY",63.6734693877551,116.666666666667,71.4285714285714,45.2380952380952,0.4,70,55.5555555555556
"103","BANEY,PAYTON GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE TIMKO,NICOLE",3,2,3,102,0,6,0,3,0,2,3,"allegheny","1","3","15 4 24 3 22","73-47","AWAY",58.8235294117647,200,0,200,0,100,66.6666666666667
"104","BANEY,PAYTON GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE PEPER,ANYA",3,10,9,334,17,18,3,8,1,3,8,"case western reserve, chicago, penn state-behrend","-4, -3, 1","2, 4, 2","33 22 4 15 14","69-63, 54-62, 78-74","AWAY, AWAY, HOME",68.2634730538922,200,170,30,0.375,106.635071090047,37.5
"105","BANEY,PAYTON GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE",3,73,73,2636,63,93,28,67,18,40,72,"allegheny, brandeis, brandeis, brandeis2, bridgewater st., bridgewater st., case western reserve, case western reserve, case western reserve2, chicago, denison, denison, denison, johns hopkins, johns hopkins, johns hopkins, penn state-behrend, penn state-behrend, washu, washu, washu2, washu2, wis.-eau claire, wooster, wooster","-9, 6, 20, 11, 8, -2, -9, -3, 9, -7, -3, -6, 4, -12, -8, -10, 5, 8, 17, 16, -3, 12, -1, 0, 12","1, 1, 3, 4, 2, 2, 2, 3, 3, 3, 1, 3, 3, 3, 4, 4, 2, 3, 2, 3, 2, 4, 1, 2, 2","4 15 22 33 24","73-47, 74-67, 74-67, 62-51, 69-58, 69-58, 69-63, 69-63, 70-46, 54-62, 75-58, 75-58, 75-58, 58-68, 58-68, 58-68, 78-74, 78-74, 86-67, 86-67, 76-70, 76-70, 71-48, 69-43, 69-43","AWAY, HOME, HOME, AWAY, HOME, HOME, AWAY, AWAY, HOME, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, HOME, HOME, AWAY, AWAY, HOME, HOME, HOME, AWAY, AWAY",66.464339908953,127.397260273973,86.3013698630137,41.0958904109589,0.417910447761194,62.0662039508809,55.5555555555556
"106","BANEY,PAYTON GIBBS,SAVANNAH OR,CATHERINE PEPER,ANYA TIMKO,NICOLE",3,5,5,213,2,6,0,5,0,3,7,"washu","15","2","22 4 24 15 14","86-67","AWAY",56.3380281690141,120,40,80,0,60,42.8571428571429
"107","BANEY,PAYTON HEYER,ALLIE KATZ,JUSTINE OR,CATHERINE TIMKO,NICOLE",4,2,3,64,2,2,1,1,2,1,2,"muskingum","9","2","24 2 15 5 22","91-61","HOME",93.75,66.6666666666667,100,-33.3333333333333,1,53.1914893617021,50
"108","BANEY,PAYTON HEYER,ALLIE LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE",3,2,2,141,4,0,0,1,0,0,1,"brandeis2","-2","2","5 15 43 22 33","62-51","AWAY",34.0425531914894,0,200,-200,0,0,0
"109","BANEY,PAYTON HEYER,ALLIE LIGOTTI,PIPER NAMBISAN,ISHA OR,CATHERINE",4,3,4,109,3,2,2,3,2,1,4,"carlow","24","2","15 33 3 5 22","92-45","HOME",77.0642201834862,50,100,-50,0.666666666666667,25.7731958762887,25
"110","BANEY,PAYTON HEYER,ALLIE LIGOTTI,PIPER OR,CATHERINE TIMKO,NICOLE",4,9,8,236,4,11,2,7,2,6,10,"muskingum, oberlin","11, 12","1, 2","15 3 22 5 24","91-61, 81-43","HOME, HOME",86.4406779661017,137.5,44.4444444444444,93.0555555555556,0.285714285714286,69.7969543147208,60
"111","BANEY,PAYTON HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE",4,13,16,389,12,13,2,6,6,3,9,"emory2, johns hopkins, la roche, muskingum, rochester, washington & jefferson, washu2","-3, -8, 11, 9, 12, 9, -2","3, 4, 1, 2, 2, 3, 2","24 33 22 5 15","78-66, 58-68, 72-47, 91-61, 72-55, 80-77, 76-70","HOME, AWAY, HOME, HOME, AWAY, HOME, HOME",89.4601542416453,81.25,92.3076923076923,-11.0576923076923,0.333333333333333,75.2314814814815,33.3333333333333
"112","BANEY,PAYTON KATZ,JUSTINE LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE",3,1,1,34,2,0,2,2,0,1,2,"muskingum","10","2","43 2 15 33 22","91-61","HOME",70.5882352941177,0,200,-200,1,0,50
"113","BANEY,PAYTON KATZ,JUSTINE NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE",4,6,5,223,8,9,3,5,2,4,5,"muskingum","8","2","24 2 15 33 22","91-61","HOME",59.1928251121076,180,133.333333333333,46.6666666666667,0.6,76.530612244898,80
"114","BANEY,PAYTON LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE",3,10,10,265,14,4,0,6,0,4,8,"oberlin, penn state-behrend","19, 7","2, 2","15 43 22 33 24","81-43, 78-74","HOME, HOME",90.566037735849,40,140,-100,0,33.3333333333333,50
"115","BANEY,PAYTON LAFOND,LIV OR,CATHERINE PROUTY,ANNA TIMKO,NICOLE",2,2,2,60,5,3,1,2,0,0,1,"rochester","14","2","24 15 43 11 22","72-55","AWAY",80,150,250,-100,0.5,75,0
"116","BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE PEPER,ANYA PROUTY,ANNA",3,1,0,14,0,0,0,0,0,1,1,"case western reserve","-9","2","33 22 15 11 14","69-63","AWAY",85.7142857142857,NA,0,NA,NA,NA,100
"117","BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE PEPER,ANYA TIMKO,NICOLE",4,5,4,147,7,0,2,2,0,1,3,"case western reserve","4","3","33 22 15 14 24","69-63","AWAY",73.469387755102,0,140,-140,1,0,33.3333333333333
"118","BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE PROUTY,ANNA TIMKO,NICOLE",3,6,6,253,2,13,4,7,0,6,7,"brandeis2, bridgewater st.","8, 0","3, 1","11 15 24 33 22","62-51, 69-58","AWAY, HOME",56.9169960474308,216.666666666667,33.3333333333333,183.333333333333,0.571428571428571,92.8571428571429,85.7142857142857
"119","BANEY,PAYTON OR,CATHERINE PEPER,ANYA PROUTY,ANNA TIMKO,NICOLE",3,1,2,50,0,4,1,2,2,2,2,"allegheny","16","4","15 11 24 14 22","73-47","AWAY",72,200,0,200,0.5,69.4444444444444,100
"120","CHINTALA,ANISHA DELMORE,KAYLA HEYER,ALLIE OR,CATHERINE PROUTY,ANNA",4,2,1,65,4,0,2,2,0,1,2,"washington & jefferson","8","4","21 10 5 22 11","80-77","HOME",55.3846153846154,0,200,-200,1,0,50
"121","CHINTALA,ANISHA DELMORE,KAYLA HEYER,ALLIE PROUTY,ANNA TIMKO,NICOLE",4,1,2,56,0,2,0,1,2,2,2,"washington & jefferson","2","1","11 21 10 24 5","80-77","HOME",64.2857142857143,100,0,100,0,53.1914893617021,100
"122","CHINTALA,ANISHA DELMORE,KAYLA KATZ,JUSTINE OR,CATHERINE PROUTY,ANNA",4,2,1,37,3,2,0,0,3,0,0,"brandeis","10","4","22 11 10 2 21","74-67","HOME",97.2972972972973,200,150,50,NA,75.7575757575758,NA
"123","CHINTALA,ANISHA DELMORE,KAYLA KATZ,JUSTINE PEPER,ANYA PROUTY,ANNA",4,1,0,5,2,0,0,0,1,0,2,"brandeis","9","4","14 11 10 2 21","74-67","HOME",240,NA,200,NA,NA,0,0
"124","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE KATZ,JUSTINE LIGOTTI,PIPER",4,2,2,27,2,3,1,1,0,0,0,"oberlin","31","3","4 5 10 3 2","81-43","HOME",177.777777777778,150,100,50,1,150,NA
"125","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE",3,3,2,72,2,0,1,1,0,1,2,"brandeis2","13","4","4 43 5 10 22","62-51","AWAY",83.3333333333333,0,66.6666666666667,-66.6666666666667,1,0,50
"126","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE",4,7,8,342,10,9,2,6,3,3,10,"chicago, la roche, rochester","1, 17, 15","2, 3, 4","5 22 4 10 33","54-62, 72-47, 72-55","AWAY, HOME, AWAY",52.6315789473684,112.5,142.857142857143,-30.3571428571429,0.333333333333333,61.4754098360656,30
"127","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA TIMKO,NICOLE",4,4,3,106,3,4,0,1,2,3,3,"chicago, oberlin","1, 9","2, 1","5 24 4 10 33","54-62, 81-43","AWAY, HOME",79.2452830188679,133.333333333333,75,58.3333333333333,0,106.382978723404,100
"128","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE",4,11,10,398,12,8,3,7,5,6,12,"bridgewater st., emory, washu2, wis.-eau claire","4, -10, 4, 15","2, 3, 3, 2","5 24 22 4 10","69-58, 67-77, 76-70, 71-48","HOME, AWAY, HOME, HOME",63.3165829145729,80,109.090909090909,-29.0909090909091,0.428571428571429,43.4782608695652,50
"129","CHINTALA,ANISHA GIBBS,SAVANNAH KATZ,JUSTINE OR,CATHERINE TIMKO,NICOLE",4,2,2,53,0,2,0,0,4,1,3,"brandeis2","8","4","4 24 2 10 22","62-51","AWAY",90.566037735849,100,0,100,NA,56.8181818181818,33.3333333333333
